Name	YT Scope Project	
File	H:\mscthesisgeert\MScThesisTemplate\Code\AGC_functions\dSPACE_TwinCAT_recordings\NoiseMeas0V.csv	
Starttime of export	133014769934170000	dinsdag 5 juli 2022	08:43:13.417
Endtime of export	133014770253842131	dinsdag 5 juli 2022	08:43:45.384


Name	AI_df1	Name	AI_df2	Name	AI_dPtie1
SymbolComment	frequency area 1	SymbolComment	frequency area 2	SymbolComment	tie-line power flow
Data-Type	INT16	Data-Type	INT16	Data-Type	INT16
SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	2	VariableSize	2	VariableSize	2
SymbolBased	True	SymbolBased	True	SymbolBased	True
IndexGroup	61472	IndexGroup	61472	IndexGroup	61472
IndexOffset	385000	IndexOffset	385002	IndexOffset	385004
SymbolName	MAIN.AI_df1	SymbolName	MAIN.AI_df2	SymbolName	MAIN.AI_dPtie1
NetID	172.18.237.162.1.1	NetID	172.18.237.162.1.1	NetID	172.18.237.162.1.1
Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0

4430	-5	4430	-2	4430	-14
4440	-4	4440	-2	4440	-13
4450	-4	4450	0	4450	-12
4460	-4	4460	-2	4460	-14
4470	-4	4470	-4	4470	-17
4480	-5	4480	-4	4480	-17
4490	-5	4490	-2	4490	-15
4500	-4	4500	0	4500	-14
4510	-4	4510	-3	4510	-15
4520	-3	4520	-3	4520	-15
4530	-3	4530	-2	4530	-14
4540	-4	4540	-2	4540	-15
4550	-4	4550	0	4550	-15
4560	-5	4560	1	4560	-17
4570	-5	4570	-2	4570	-15
4580	-5	4580	-3	4580	-15
4590	-5	4590	-3	4590	-14
4600	-3	4600	-2	4600	-14
4610	-3	4610	-2	4610	-14
4620	-4	4620	-3	4620	-12
4630	-5	4630	-3	4630	-12
4640	-4	4640	0	4640	-13
4650	-3	4650	1	4650	-14
4660	-3	4660	1	4660	-15
4670	-3	4670	0	4670	-15
4680	-3	4680	-2	4680	-14
4690	-5	4690	-3	4690	-17
4700	-5	4700	-3	4700	-15
4710	-2	4710	0	4710	-13
4720	0	4720	1	4720	-13
4730	-3	4730	0	4730	-13
4740	-4	4740	0	4740	-13
4750	-5	4750	0	4750	-14
4760	-5	4760	-3	4760	-14
4770	-4	4770	-2	4770	-13
4780	-3	4780	-2	4780	-13
4790	-3	4790	-3	4790	-14
4800	-3	4800	-2	4800	-15
4810	-2	4810	0	4810	-14
4820	-4	4820	-2	4820	-14
4830	-4	4830	-4	4830	-14
4840	-3	4840	-3	4840	-14
4850	-4	4850	-2	4850	-14
4860	-4	4860	-3	4860	-14
4870	-4	4870	-4	4870	-14
4880	-5	4880	-3	4880	-14
4890	-5	4890	-3	4890	-13
4900	-5	4900	0	4900	-15
4910	-5	4910	2	4910	-17
4920	-4	4920	1	4920	-14
4930	-3	4930	-2	4930	-14
4940	-4	4940	0	4940	-14
4950	-4	4950	0	4950	-14
4960	-4	4960	0	4960	-14
4970	-3	4970	0	4970	-13
4980	-3	4980	-2	4980	-14
4990	-4	4990	-3	4990	-17
5000	-4	5000	-2	5000	-15
5010	-4	5010	-2	5010	-15
5020	-4	5020	-4	5020	-14
5030	-4	5030	-3	5030	-14
5040	-4	5040	-3	5040	-15
5050	-4	5050	-2	5050	-17
5060	-3	5060	-2	5060	-15
5070	-3	5070	-3	5070	-14
5080	-4	5080	-3	5080	-14
5090	-4	5090	-2	5090	-14
5100	-3	5100	0	5100	-15
5110	-3	5110	0	5110	-14
5120	-6	5120	-2	5120	-13
5130	-6	5130	-2	5130	-13
5140	-4	5140	-2	5140	-13
5150	-4	5150	-4	5150	-14
5160	-4	5160	-5	5160	-15
5170	-2	5170	-2	5170	-15
5180	-3	5180	-2	5180	-14
5190	-4	5190	-3	5190	-13
5200	-3	5200	-2	5200	-13
5210	-3	5210	-2	5210	-14
5220	-3	5220	0	5220	-14
5230	-3	5230	1	5230	-13
5240	-4	5240	1	5240	-12
5250	-4	5250	-2	5250	-14
5260	-3	5260	-3	5260	-14
5270	-2	5270	-2	5270	-13
5280	-3	5280	-2	5280	-14
5290	-4	5290	0	5290	-14
5300	-4	5300	-3	5300	-15
5310	-3	5310	-5	5310	-15
5320	-4	5320	-3	5320	-15
5330	-4	5330	-3	5330	-15
5340	-5	5340	-3	5340	-13
5350	-6	5350	-2	5350	-14
5360	-4	5360	-2	5360	-15
5370	-4	5370	-3	5370	-14
5380	-5	5380	-3	5380	-14
5390	-5	5390	-6	5390	-15
5400	-6	5400	-4	5400	-17
5410	-5	5410	0	5410	-15
5420	-3	5420	0	5420	-14
5430	-3	5430	2	5430	-15
5440	-3	5440	0	5440	-18
5450	-3	5450	-4	5450	-17
5460	-3	5460	-4	5460	-15
5470	-4	5470	-5	5470	-15
5480	-5	5480	-5	5480	-14
5490	-3	5490	-4	5490	-14
5500	0	5500	-2	5500	-14
5510	-3	5510	-3	5510	-12
5520	-4	5520	-3	5520	-12
5530	-4	5530	0	5530	-14
5540	-3	5540	-3	5540	-14
5550	-4	5550	-2	5550	-15
5560	-4	5560	0	5560	-15
5570	-2	5570	0	5570	-14
5580	-3	5580	-3	5580	-13
5590	-4	5590	-3	5590	-14
5600	-3	5600	-4	5600	-17
5610	-3	5610	-4	5610	-15
5620	-3	5620	-3	5620	-14
5630	-3	5630	-2	5630	-14
5640	-3	5640	0	5640	-15
5650	-2	5650	1	5650	-15
5660	-3	5660	-2	5660	-14
5670	-4	5670	-3	5670	-13
5680	-3	5680	-3	5680	-13
5690	-4	5690	-5	5690	-18
5700	-4	5700	-3	5700	-17
5710	-4	5710	1	5710	-17
5720	-4	5720	1	5720	-18
5730	-4	5730	0	5730	-14
5740	-4	5740	0	5740	-14
5750	-4	5750	-2	5750	-15
5760	-5	5760	-2	5760	-14
5770	-3	5770	-3	5770	-17
5780	-2	5780	-2	5780	-17
5790	-4	5790	-3	5790	-14
5800	-4	5800	-3	5800	-15
5810	-3	5810	-2	5810	-15
5820	-3	5820	-2	5820	-14
5830	-4	5830	-4	5830	-14
5840	-4	5840	-5	5840	-14
5850	-4	5850	-3	5850	-13
5860	-4	5860	-3	5860	-14
5870	-3	5870	-3	5870	-15
5880	-3	5880	-3	5880	-14
5890	-3	5890	-2	5890	-14
5900	-4	5900	-3	5900	-15
5910	-3	5910	-3	5910	-15
5920	-2	5920	-3	5920	-15
5930	-3	5930	-4	5930	-14
5940	-4	5940	-3	5940	-13
5950	-5	5950	-3	5950	-13
5960	-5	5960	-4	5960	-17
5970	-4	5970	-3	5970	-15
5980	-4	5980	-4	5980	-13
5990	-3	5990	-3	5990	-12
6000	-3	6000	-3	6000	-15
6010	-3	6010	-4	6010	-18
6020	-3	6020	-2	6020	-15
6030	-5	6030	-3	6030	-13
6040	-5	6040	-3	6040	-15
6050	-3	6050	-2	6050	-14
6060	-4	6060	0	6060	-14
6070	-4	6070	0	6070	-15
